Measurement noise,Prediction noise,Scene id, Score
0,0,0,0.8
0,0,1,1.0
0,0,2,1.0
0,0,3,1.0
0,0,4,1.0
0,0,5,1.0
0,0,6,1.0
0,0,7,1.0
0,0,8,1.0
0,0,9,1.0
0,0,10,1.0
0,0,11,1.0
0,0,12,1.0
0,0,13,1.0
0,0,14,0.8
0,0,15,1.0
0,0,16,1.0
0,0,17,1.0
0,0,18,1.0
0,0,19,1.0
0,0,20,1.0
0,0,21,1.0
0,0,22,1.0
0,0,23,1.0
0,0,24,1.0
0,0,25,1.0
0,0,26,1.0
0,0,27,0.8
0,0,28,1.0
0,0,29,1.0
1,0,0,0.8400000000000001
1,0,1,1.0
1,0,2,0.76
1,0,3,0.8799999999999999
1,0,4,1.0
1,0,5,1.0
1,0,6,0.8400000000000001
1,0,7,0.8
1,0,8,1.0
1,0,9,0.8
1,0,10,1.0
1,0,11,0.9199999999999999
1,0,12,0.8
1,0,13,0.72
1,0,14,0.6000000000000001
1,0,15,0.8800000000000001
1,0,16,1.0
1,0,17,1.0
1,0,18,0.96
1,0,19,1.0
1,0,20,0.9199999999999999
1,0,21,0.96
1,0,22,0.8799999999999999
1,0,23,0.76
1,0,24,1.0
1,0,25,1.0
1,0,26,1.0
1,0,27,0.7200000000000001
1,0,28,0.7600000000000001
1,0,29,1.0
2,0,0,0.56
2,0,1,0.68
2,0,2,0.8400000000000001
2,0,3,0.64
2,0,4,0.96
2,0,5,0.96
2,0,6,0.68
2,0,7,0.76
2,0,8,0.8800000000000001
2,0,9,0.56
2,0,10,0.68
2,0,11,0.7600000000000001
2,0,12,0.8
2,0,13,0.64
2,0,14,0.52
2,0,15,0.8
2,0,16,0.9199999999999999
2,0,17,0.8400000000000001
2,0,18,0.8800000000000001
2,0,19,0.8400000000000001
2,0,20,0.7200000000000001
2,0,21,1.0
2,0,22,0.8800000000000001
2,0,23,0.8
2,0,24,1.0
2,0,25,0.96
2,0,26,0.68
2,0,27,0.76
2,0,28,0.56
2,0,29,0.7200000000000001
3,0,0,0.6
3,0,1,0.56
3,0,2,0.8
3,0,3,0.7200000000000001
3,0,4,0.76
3,0,5,0.8400000000000001
3,0,6,0.72
3,0,7,0.6
3,0,8,0.8
3,0,9,0.5599999999999999
3,0,10,0.52
3,0,11,0.7200000000000001
3,0,12,0.76
3,0,13,0.48
3,0,14,0.6
3,0,15,0.76
3,0,16,0.8800000000000001
3,0,17,0.5199999999999999
3,0,18,0.68
3,0,19,0.7200000000000001
3,0,20,0.64
3,0,21,0.96
3,0,22,0.8400000000000001
3,0,23,0.68
3,0,24,1.0
